,ID,SSIM_0_to_0,SSIM_0_to_1,SSIM_0_to_2,SSIM_0_to_3,SSIM_0_to_4,SSIM_0_to_5,SSIM_0_to_6
1,13,1,0.9228875322098686,0.9066551221889836,0.8941493760359157,0.8481004806993266,0.7738295930144768,0.8345271789127147
3,17,1,0.8064143216066304,0.7673196920721451,0.8696884987605533,0.8233094525047212,0.8324807664458157,0.7922867438483603
5,18,1,0.7975527384659806,0.860525279329741,0.8865491684489154,0.8883405732437142,0.7484079765481956,0.7628058386164785
7,1,1,0.8241669814640956,0.8301122349387604,0.8205098606710094,0.8443492524126414,0.7783373432859504,0.7955714673506753
9,200,1,0.7590460273676741,0.7524210609958795,0.6882032881478065,0.7743568840694995,0.7049185722080337,0.7629031216483836
11,204,1,0.8336150835101068,0.8415037757242934,0.8690348766633718,0.8526960517703653,0.7604108421463603,0.8476255047442921
13,210,1,0.7982996611831392,0.7816979328433291,0.9014980210542128,0.8025050010277303,0.7981738385696929,0.8525074968352961
15,212,1,0.8142629747321071,0.7977246690746781,0.7914677752608202,0.7855433022694251,0.7459868309261478,0.7693196971267622
17,217,1,0.8134664655655377,0.8318627285739869,0.8381666553445501,0.7698567372788079,0.7057665397397032,0.8126434276731739
19,219,1,0.7811350359917042,0.8039986968898345,0.80128239552077,0.8122030855967025,0.6615882813678458,0.7613671742464941
21,21,1,0.8161306229584557,0.8354694530556324,0.8097122590562866,0.7915051499454462,0.7177634396903035,0.7980678846819771
23,223,1,0.8817679570947878,0.86269307497005,0.9052858174238948,0.8710335986398894,0.8418187068440595,0.8718953914846878
25,226,1,0.9097564898619278,0.9195205180855609,0.9181832996169684,0.9101875393900192,0.8195750179079802,0.9453499653054476
27,6,1,0.7930883809045711,0.8839695631817173,0.824486473684899,0.8389876000579997,0.8053542440973415,0.8547394158703028
29,72,1,0.7967873010453246,0.8955464153551388,0.7577801023248789,0.7987907309139849,0.7564778666024978,0.8463778239201499
31,80,1,0.8884604149677373,0.8263987499752597,0.9149452545246746,0.9019053431618412,0.7590276460322951,0.8725380734709678
